rt,acc
1.536144505007948,0
0.7759434402050678,1
1.6172692088134215,0
1.5798067229032169,0
0.678484407530302,1
0.6388101012426917,1
0.9600468225864767,1
1.5369063493119905,0
1.2661511280347528,0
0.7884915191560087,1
0.7678524824661652,1
0.7299321433116447,1
1.5116565954904,0
0.6886096363065161,1
0.8055677383467112,1
0.8109891875415821,1
0.8097652156961287,1
0.7254740047178938,1
1.6110396143000414,0
0.7252458214218102,1
1.3121583266942676,0
1.4821519253855313,0
0.6671592484963604,1
1.380087131400955,0
0.5849047971139489,1
0.8164304571152126,1
1.3970782214752704,0
0.6607082475727106,1
1.371526777674636,0
0.8501759102699771,1
0.8302263414299382,1
1.5355241279988676,0
0.7386601796828167,1
0.7855396109795092,1
0.9464800411907223,1
0.7918647418201417,1
0.7378838266332622,1
0.7444572798024891,1
0.809474029347266,1
0.9146931273643955,1
